Date,Speaker Time,GPS.Time.UTC,Device.Time.SAST,Phone.Time.SAST,t0,tf,comments
20170803,2017-08-03 00:04:00,2017-08-03 07:00:00,2017-08-03 09:00:17,NA,9:00:00,12:00:00,None
20170804,2017-08-04 00:03:00,2017-08-04 06:58:13,2017-08-04 08:58:31,NA,9:00:00,12:00:00,None
20170805,2017-08-05 00:01:30,2017-08-05 06:54:27,2017-08-05 08:54:46,NA,9:00:00,12:00:00,None
20170806,2017-08-06 00:04:30,2017-08-06 06:55:24,2017-08-06 08:55:45,NA,9:00:00,12:00:00,None
20170807,2017-08-07 00:01:30,2017-08-07 06:51:11,2017-08-07 08:51:33,NA,9:00:00,12:00:00,None
20170808,2017-08-08 00:10:30,2017-08-08 06:53:08,2017-08-08 08:53:31,NA,9:00:00,12:00:00,None
20170809,2017-08-09 00:01:30,2017-08-09 06:52:06,2017-08-09 08:52:31,NA,9:00:00,10:23:36,None
20170809,2017-08-09 00:01:00,2017-08-09 08:25:46,2017-08-09 10:26:11,NA,10:23:36,12:00:00,None
20170810,2017-08-10 00:01:30,2017-08-10 06:41:29,2017-08-10 08:41:55,NA,9:00:00,12:00:00,None
20170811,2017-08-11 00:04:30,2017-08-11 06:47:26,2017-08-11 08:47:53,NA,9:00:00,12:00:00,None
20170812,2017-08-12 00:04:30,2017-08-12 06:47:49,2017-08-12 08:48:18,NA,9:00:00,12:00:00,None
20170813,2017-08-13 00:01:30,2017-08-13 06:53:20,2017-08-13 08:53:51,NA,9:00:00,12:00:00,None
20170814,2017-08-14 01:16:30,2017-08-14 06:11:34,2017-08-14 08:12:06,NA,9:00:00,12:00:00,None
20170815,2017-08-15 00:01:30,2017-08-15 06:42:45,2017-08-15 08:43:19,NA,9:00:00,12:00:00,None
20170821,2017-08-21 00:01:30,2017-08-21 06:37:36,2017-08-21 08:38:19,NA,9:00:00,12:00:00,None
20170822,2017-08-22 00:03:00,2017-08-22 06:48:22,2017-08-22 08:49:06,NA,9:00:00,12:00:00,None
20170823,2017-08-23 00:01:30,2017-08-23 06:32:55,2017-08-23 08:33:41,NA,9:00:00,12:00:00,None
20170824,2017-08-24 00:01:30,2017-08-24 06:42:30,2017-08-24 08:43:18,NA,9:00:00,13:00:00,None
20170825,2017-08-25 01:27:00,2017-08-25 08:17:01,2017-08-25 10:17:50,NA,9:00:00,11:45:31,first several calls erroneous
20170825,2017-08-25 03:15:00,2017-08-25 10:05:08,2017-08-25 12:05:57,NA,11:45:31,12:00:00,None
20170903,2017-09-03 00:03:00,2017-09-03 05:59:16,2017-09-03 08:00:19,NA,9:00:00,12:00:00,None
20170904,2017-09-04 00:07:30,2017-09-04 05:51:12,2017-09-04 07:52:17,NA,9:00:00,12:00:00,None
20170905,2017-09-05 00:03:00,2017-09-05 05:36:49,2017-09-05 07:37:55,NA,9:00:00,12:00:00,None
20170906,2017-09-06 00:01:30,2017-09-06 05:39:26,2017-09-06 07:40:34,NA,9:00:00,12:00:00,None
20170907,2017-09-07 00:03:00,2017-09-07 05:51:13,2017-09-07 07:52:22,NA,9:00:00,12:00:00,None
20170908,2017-09-08 00:03:00,2017-09-08 05:54:00,2017-09-08 07:55:10,NA,9:00:00,12:00:00,None
20190623,2019-06-23 00:01:30,2019-06-23 07:45:16,2019-06-23 09:45:15,NA,10:00:00,13:00:00,american
20190624,2019-06-24 00:01:30,2019-06-24 07:36:17,2019-06-24 09:36:17,NA,10:00:00,13:00:00,american
20190625,2019-06-25 00:01:30,2019-06-25 07:37:07,2019-06-25 09:37:09,NA,10:00:00,13:00:00,american
20190626,2019-06-26 00:04:30,2019-06-26 07:49:24,2019-06-26 09:49:34,NA,10:00:00,13:00:00,american
20190627,2019-06-27 00:01:30,2019-06-27 07:44:00,2019-06-27 09:44:12,NA,10:00:00,13:00:00,american
20190628,2019-06-28 00:01:30,2019-06-28 07:45:59,2019-06-28 09:46:12,NA,10:00:00,13:00:00,american
20190712,2019-07-12 00:03:00,2019-07-12 11:46:40,2019-07-12 13:46:05,NA,14:00:00,17:00:00,american
20190712,2019-07-12 00:01:30,2019-07-12 11:47:36,2019-07-12 13:47:36,NA,14:00:00,17:00:00,"british, roving group"
20190713,2019-07-13 00:03:00,2019-07-13 11:45:35,2019-07-13 13:46:10,NA,14:00:00,17:00:00,british
20190714,2019-07-14 00:01:30,2019-07-14 11:47:43,2019-07-14 13:48:20,NA,14:00:00,17:00:00,british
20190715,2019-07-15 00:01:00,2019-07-15 11:46:12,2019-07-15 13:46:51,NA,14:00:00,17:00:00,british
