"Type","Time","MeerkatID","Behavior","Neighbours..1m","UnID","Event.type","Emmiter","Timing","Note"
"Scan","6/24/19 09:59:52","MB + RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:01:53","MB + LS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:02:07","RT","Scrabling","LS + TB, MB + RS",NA,NA,NA,NA,""
"Scan","6/24/19 10:03:50","TB","Scrabling","H + MB, RS",NA,NA,NA,NA,""
"Scan","6/24/19 10:04:27","LT","Scrabling","LS",NA,NA,NA,NA,""
"Scan","6/24/19 10:04:52","RS","Moving","",NA,NA,NA,NA,""
"Scan","6/24/19 10:05:04","LS","Scanning","",NA,NA,NA,NA,""
"Scan","6/24/19 10:05:24","MB + TB","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:05:42","MB + LS","Moving","",NA,NA,NA,NA,""
"Scan","6/24/19 10:06:19","RT","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 10:06:34","TB","Foraging","LS",NA,NA,NA,NA,""
"Scan","6/24/19 10:07:07","LT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:07:40","RS","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:07:52","LS","Scrabling","LS + LT",NA,NA,NA,NA,""
"Scan","6/24/19 10:08:20","MB + TB","Foraging","",NA,NA,NA,NA,""
"Scan","6/24/19 10:08:34","MB + LS","Scrabling","H + MB, RT",NA,NA,NA,NA,""
"Scan","6/24/19 10:08:51","RT","Scrabling","",NA,NA,NA,NA,""
"Scan","6/24/19 10:09:28","TB","Foraging","LS + TB",NA,NA,NA,NA,""
"Scan","6/24/19 10:09:54","LT","Scanning","",1,NA,NA,NA,""
"Scan","6/24/19 10:10:29","RS","Eating","",NA,NA,NA,NA,""
"Scan","6/24/19 10:10:46","LS","Scrabling","RS",NA,NA,NA,NA,""
"Scan","6/24/19 10:11:05","MB + TB","Bipedal vig","LS + TB, LT, RS",NA,NA,NA,NA,""
"Scan","6/24/19 10:11:28","MB + LS","Bipedal vig","LS + TB, LS",NA,NA,NA,NA,""
"Scan","6/24/19 10:11:57","RT","Bipedal vig","MB + LS, TB",NA,NA,NA,NA,""
"Scan","6/24/19 10:12:14","TB","Scrabling","MB + LS",NA,NA,NA,NA,""
"Scan","6/24/19 10:12:37","TB","Scrabling","H + MB",NA,NA,NA,NA,""
"Scan","6/24/19 10:12:52","RS","Scrabling","",NA,NA,NA,NA,""
