"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","6/28/19 10:00:12","RS + TB","Scrabling","","","","","",""
"Event","6/28/19 10:02:13","","","","","Alarm scanning","H + TB","Start",""
"Event","6/28/19 10:02:38","","","","","Alarm scanning","H + TB","Stop",""
"Event","6/28/19 10:03:33","","","","","Alarm running","Ukn","Ponctual",""
"Event","6/28/19 10:04:55","","","","","Sentinel","RS + TB","Already started","40cm"
"Scan","6/28/19 10:05:19","MB + TB","Scrabling","LS + TB","","","","",""
"Scan","6/28/19 10:05:47","MB + RS","Scrabling","","","","","",""
"Event","6/28/19 10:06:39","","","","","Sentinel","LT + TB","Already started","20cm"
"Scan","6/28/19 10:07:39","MB + LT","Foraging","MB + LS","","","","",""
"Scan","6/28/19 10:07:46","MB + LS","Foraging","MB + LT","","","","",""
"Scan","6/28/19 10:08:11","RT","Scrabling","","","","","",""
"Event","6/28/19 10:08:55","","","","","Sentinel","RS + TB","Already stopped",""
"Event","6/28/19 10:09:18","","","","","Sentinel","LT + TB","Already stopped",""
"Scan","6/28/19 10:10:51","TB","Scanning","","","","","",""
"Scan","6/28/19 10:12:20","LT","Scrabling","","","","","",""
"Event","6/28/19 10:13:44","","","","","Sentinel","LT + TB","Already started","20cm"
"Event","6/28/19 10:14:41","","","","","Sentinel","LT + TB","Stop",""
"Event","6/28/19 10:14:57","RS + TB","","","","Sentinel","RS + TB","Start","20cm"
"Event","6/28/19 10:15:22","","","","","Sentinel","RS + TB","Stop",""
"Scan","6/28/19 10:15:46","RS","Moving","RS + TB","","","","",""
"Scan","6/28/19 10:16:50","LS","Scrabling","","","","","",""
"Event","6/28/19 10:17:53","","","","","Alarm running","Ukn","Ponctual","bird alarm"
"Event","6/28/19 10:19:05","","","","","Sentinel","RS + TB","Already started","20cm"
"Scan","6/28/19 10:19:20","RS + TB","Sentinel","","","","","",""
"Scan","6/28/19 10:20:56","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 10:21:12","MB + RS","Foraging","RT + TB, LT + TB","","","","",""
"Scan","6/28/19 10:21:30","MB + LT","Scrabling","","","","","",""
"Scan","6/28/19 10:22:25","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 10:22:41","RT","Scanning","","","","","",""
"Scan","6/28/19 10:23:33","TB","Scrabling","","","","","",""
"Scan","6/28/19 10:23:45","LT","Running","","","","","",""
"Scan","6/28/19 10:23:54","RS","Scrabling","","","","","",""
"Scan","6/28/19 10:26:31","LS","Foraging","","","","","",""
"Event","6/28/19 10:27:06","","","","","Sentinel","RS + TB","Already stopped",""
"Scan","6/28/19 10:28:46","RS + TB","Foraging","","","","","",""
"Scan","6/28/19 10:29:03","MB + TB","Foraging","","","","","",""
"Scan","6/28/19 10:30:04","MB + RS","Scrabling","","","","","",""
"Scan","6/28/19 10:31:48","MB + LT","Scanning","H + MB","","","","",""
"Scan","6/28/19 10:33:43","RT","Scanning","RS + TB, MB + TB, LS","","","","",""
"Event","6/28/19 10:34:42","","","","","Alarm running","Ukn","Already stopped",""
"Scan","6/28/19 10:35:24","TB","Social","H + TB, MB + TB, MB + LT, MB + RS, LS","","","","","f1 chin"
"Event","6/28/19 10:36:06","","","","","Alarm running","Ukn","Already stopped",""
"Scan","6/28/19 10:37:18","LT","Scrabling","","","","","",""
"Scan","6/28/19 10:37:58","RS","Scanning","RT + TB, LT + TB, MB + LT, MB + LS","","","","",""
"Scan","6/28/19 10:38:48","LS","Scrabling","","","","","",""
"Scan","6/28/19 10:39:34","RS + TB","Bipedal vig","MB + LS","","","","",""
"Event","6/28/19 10:39:59","","","","","Encounter","","Already started","rttb raised alarm saw f10, just watching"
"Event","6/28/19 10:41:00","","","","","Encounter","","Already stopped",""
"Scan","6/28/19 10:41:36","MB + TB","Scrabling","","","","","",""
"Scan","6/28/19 10:42:32","MB + RS","Foraging","H + TB","","","","",""
"Scan","6/28/19 10:43:08","MB + LT","Foraging","LS + TB","","","","",""
"Scan","6/28/19 10:44:25","RS + TB","Bipedal vig","","","","","",""
"Scan","6/28/19 10:49:22","MB + LS","Scrabling","","","","","",""
"Scan","6/28/19 10:49:49","RT","Scrabling","LS","","","","",""
"Scan","6/28/19 10:52:55","TB","Scrabling","RT","","","","",""
"Scan","6/28/19 10:53:16","LT","Bipedal vig","","","","","",""
"Scan","6/28/19 10:53:30","RS","Foraging","","","","","",""
"Scan","6/28/19 10:54:29","LS","Scrabling","MB + TB","","","","",""
"Scan","6/28/19 10:55:25","RS + TB","Scrabling","","","","","",""
"Scan","6/28/19 10:56:26","MB + TB","Scrabling","RT, LS","","","","",""
