"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","05/08/2019 10:01:38","RT","Scrabling","LT","","","","",""
"Scan","05/08/2019 10:01:48","LT","Scrabling","H + LT","","","","",""
"Scan","05/08/2019 10:01:58","H","Scrabling","RS + RT + TBL, RT","","","","",""
"Event","05/08/2019 10:02:20","","","","","Alarm running","Ukn","Ponctual",""
"Scan","05/08/2019 10:02:35","MB","Scrabling","","","","","",""
"Scan","05/08/2019 10:03:38","LS","Foraging","","","","","",""
"Scan","05/08/2019 10:04:11","RS + TBL","Running","","","","","",""
"Scan","05/08/2019 10:04:34","H + RT","Foraging","LT + TBL","","","","",""
"Scan","05/08/2019 10:05:47","RT","Foraging","","","","","",""
"Scan","05/08/2019 10:06:16","MB","Foraging","RS + RT + TBL","","","","",""
"Event","05/08/2019 10:06:29","","","","","Alarm scanning","Ukn","Already started",""
"Scan","05/08/2019 10:06:49","RS","Bipedal vig","RT","","","","",""
"Event","05/08/2019 10:06:59","","","","","Alarm running","Ukn","Already started",""
"Event","05/08/2019 10:07:30","","","","","Alarm scanning","Ukn","Already stopped",""
"Scan","05/08/2019 10:07:53","H","Bipedal vig","","","","","",""
"Scan","05/08/2019 10:08:21","LS","Bipedal vig","H + TBL, LT, MB, H","","","","",""
"Scan","05/08/2019 10:08:52","RS","Bipedal vig","RS + RT + TBL, H + TB, H + TBL, RT, LT, LS, MB, H","","","","",""
"Scan","05/08/2019 10:09:23","MB","Bipedal vig","RS + RT + TBL, H + TB, H + TBL, RR + TBL, LS + TBL, RT, LT, RS, LS, H","","","","",""
"Scan","05/08/2019 10:09:55","LT","Bipedal vig","H + TB, H + TBL, RR + TBL, LS + TBL, RT, RS, LS, MB, H","","","","",""
"Scan","05/08/2019 10:10:15","LS","Bipedal vig","RS + RT + TBL, H + TB, H + TBL, RR + TBL, LS + TBL, RT, LT, RS, MB, H","","","","",""
"Scan","05/08/2019 10:10:42","RT","Bipedal vig","RS + RT + TBL, H + TB, H + TBL, LS + TBL, LT, RS, LS, MB, H","","","","",""
"Scan","05/08/2019 10:11:02","RS","Bipedal vig","RS + RT + TBL, H + TBL","","","","",""
"Scan","05/08/2019 10:11:28","RS + TBL","Bipedal vig","H  + MB + TB, H + RT, LT + TBL","None","","","",""
"Scan","05/08/2019 10:12:25","H + RT","Bipedal vig","H  + MB + TB, H + MB, LT + TBL, RS + TBL","","","","",""
"Scan","05/08/2019 10:12:55","RS + TBL","Bipedal vig","H  + MB + TB, H + MB, LT + TBL","","","","",""
"Scan","05/08/2019 10:13:16","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:13:28","RS","Social","H + TB, H + TBL, MB","","","","","playing"
"Scan","05/08/2019 10:13:47","MB","Scanning","H + TB, H + TBL, LS + TBL","","","","",""
"Event","05/08/2019 10:14:12","","","","","Alarm running","Ukn","Already stopped","not running whole time but still alRming"
"Scan","05/08/2019 10:14:51","LT","Bipedal vig","H + TB, RR + TBL, LT + TBL","+1","","","",""
"Scan","05/08/2019 10:15:19","LT","Digging","RR + TBL, LT + TBL","+1","","","",""
"Scan","05/08/2019 10:15:56","MB","Scrabling","","","","","",""
"Scan","05/08/2019 10:16:11","LT","Scrabling","","","","","",""
"Scan","05/08/2019 10:16:23","LS","Running","LS + TBL, RT","","","","",""
"Scan","05/08/2019 10:17:36","H","Foraging","","","","","",""
"Scan","05/08/2019 10:18:35","H","Scrabling","","","","","",""
"Scan","05/08/2019 10:18:44","LT","Foraging","","","","","",""
"Scan","05/08/2019 10:18:58","RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:19:08","LS","Scrabling","","","","","",""
"Scan","05/08/2019 10:19:43","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:19:58","H + RT","Foraging","","","","","",""
"Scan","05/08/2019 10:20:49","RS + TBL","Scrabling","H  + MB + TB","","","","",""
"Scan","05/08/2019 10:21:51","LS","Scrabling","","","","","",""
"Event","05/08/2019 10:22:02","","","","","Alarm scanning","Ukn","Already started",""
"Scan","05/08/2019 10:22:37","RS","Scrabling","LT + TBL","","","","",""
"Event","05/08/2019 10:22:49","","","","","Alarm scanning","Ukn","Already stopped",""
"Scan","05/08/2019 10:23:06","RS + TBL","Bipedal vig","","","","","",""
"Scan","05/08/2019 10:23:28","H + RT","Other","H  + MB + TB, H + MB, LT + TBL, RS + TBL, RS","","","","","selfgroom "
"Scan","05/08/2019 10:23:58","RS + TBL","Scanning","H  + MB + TB, H + MB, LT + TBL","","","","",""
"Event","05/08/2019 10:24:17","","","","","Alarm scanning","Ukn","Already stopped",""
"Scan","05/08/2019 10:24:36","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:25:00","H + RT","Scanning","LS","","","","",""
"Scan","05/08/2019 10:25:08","LS","Other","H + RT","","","","","selfgroom"
"Scan","05/08/2019 10:25:36","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:25:47","H + RT","Bipedal vig","RS","","","","",""
"Scan","05/08/2019 10:26:15","H","Scrabling","RR + TBL, MB","","","","",""
"Scan","05/08/2019 10:26:28","MB","Scrabling","H + TBL, RR + TBL, H","","","","",""
"Scan","05/08/2019 10:26:56","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 10:27:07","RT","Scrabling","MB + RS","","","","",""
"Scan","05/08/2019 10:27:55","MB","Scrabling","RR + TBL, H","","","","",""
"Scan","05/08/2019 10:28:01","H","Scrabling","RR + TBL, MB","","","","",""
"Scan","05/08/2019 10:28:45","LS","Running","","","","","",""
"Event","05/08/2019 10:29:39","","","","","Alarm scanning","Ukn","Ponctual",""
"Scan","05/08/2019 10:30:05","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 10:30:16","LT","Scrabling","MB + RS, H + TBL, H","","","","",""
"Scan","05/08/2019 10:30:33","H","Scrabling","MB + RS, RT","","","","",""
"Scan","05/08/2019 10:30:59","MB","Other","RR + TBL","","","","","investigating bolt hole"
"Scan","05/08/2019 10:31:33","LT","Scrabling","","","","","",""
"Scan","05/08/2019 10:32:26","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:33:43","RS + TBL","Foraging","LT + TBL","","","","",""
"Scan","05/08/2019 10:34:08","LS","Scrabling","","","","","",""
"Scan","05/08/2019 10:34:17","RS","Foraging","H","","","","",""
"Scan","05/08/2019 10:34:25","H","Foraging","H + LT, RS","","","","",""
"Scan","05/08/2019 10:34:51","RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:35:34","MB","Foraging","","","","","",""
"Scan","05/08/2019 10:35:59","LT","Scrabling","","","","","",""
"Scan","05/08/2019 10:36:39","H + RT","Foraging","","","","","",""
"Scan","05/08/2019 10:37:44","LT","Foraging","","","","","",""
"Scan","05/08/2019 10:37:58","H","Foraging","","","","","",""
"Scan","05/08/2019 10:38:05","RS + TBL","Scrabling","RS + RT + TBL","","","","",""
"Scan","05/08/2019 10:38:54","LS","Scanning","","","","","",""
"Scan","05/08/2019 10:39:10","RS","Foraging","RS + TBL","","","","",""
"Scan","05/08/2019 10:39:27","RS + TBL","Foraging","LS","","","","",""
"Scan","05/08/2019 10:40:04","MB","Foraging","","","","","",""
"Scan","05/08/2019 10:40:17","LT","Foraging","RR + TBL","","","","",""
"Scan","05/08/2019 10:40:45","RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:41:24","H + RT","Scrabling","H + LT","","","","",""
"Scan","05/08/2019 10:41:47","H","Scrabling","","","","","",""
"Scan","05/08/2019 10:42:56","RS + TBL","Scrabling","H + TBL","","","","",""
"Scan","05/08/2019 10:43:12","LS","Scrabling","","","","","",""
"Scan","05/08/2019 10:43:34","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:43:52","LT","Scrabling","RR + TBL","","","","",""
"Scan","05/08/2019 10:44:09","RT","Running","H + TB","","","","",""
"Scan","05/08/2019 10:44:18","MB","Scrabling","RT","","","","",""
"Scan","05/08/2019 10:44:44","H","Scrabling","LS + TBL","","","","",""
"Scan","05/08/2019 10:45:28","RS","Foraging","","","","","",""
"Scan","05/08/2019 10:45:39","LT","Scrabling","","","","","",""
"Event","05/08/2019 10:46:08","","","","","Alarm running","Ukn","Start",""
"Scan","05/08/2019 10:46:25","RS","Scrabling","MB + RS, H + MB, H + TBL","+2","","","",""
"Event","05/08/2019 10:46:42","","","","","Alarm running","Ukn","Already stopped",""
"Scan","05/08/2019 10:46:52","MB","Scrabling","LS + TBL, H","","","","",""
"Scan","05/08/2019 10:47:11","H","Foraging","LS + TBL, RT","","","","",""
"Scan","05/08/2019 10:47:52","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:48:43","H","Foraging","RT","","","","",""
"Scan","05/08/2019 10:48:55","RT","Foraging","H","","","","",""
"Event","05/08/2019 10:49:11","","","","","Alarm scanning","Ukn","Already started",""
"Event","05/08/2019 10:49:31","","","","","Alarm scanning","Ukn","Already stopped",""
"Scan","05/08/2019 10:50:24","LT","Scrabling","RS + RT + TBL","","","","",""
"Scan","05/08/2019 10:50:39","MB","Foraging","","","","","",""
"Scan","05/08/2019 10:50:58","H","Scrabling","","","","","",""
"Scan","05/08/2019 10:51:12","H + RT","Scrabling","H","","","","",""
"Scan","05/08/2019 10:51:24","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:51:46","MB","Foraging","","","","","",""
"Scan","05/08/2019 10:52:03","RT","Scrabling","LT, LS","","","","",""
"Scan","05/08/2019 10:52:18","LS","Scrabling","MB + LT, RR + TBL","","","","",""
"Scan","05/08/2019 10:53:03","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 10:54:30","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:54:45","H","Scrabling","RS","","","","",""
"Scan","05/08/2019 10:55:18","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:55:25","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 10:55:43","LT","Scrabling","MB + RS","","","","",""
"Scan","05/08/2019 10:56:01","RT","Foraging","MB + LT","","","","",""
"Scan","05/08/2019 10:56:13","MB","Eating","","","","","",""
"Scan","05/08/2019 10:56:52","RS","Foraging","","","","","",""
"Scan","05/08/2019 10:57:01","H","Foraging","","","","","",""
"Scan","05/08/2019 10:57:47","H + RT","Scrabling","LS + TBL","","","","",""
"Scan","05/08/2019 10:58:15","LT","Scrabling","","","","","",""
"Scan","05/08/2019 10:58:28","RS","Scrabling","","","","","",""
"Scan","05/08/2019 10:58:38","LS","Scrabling","","","","","",""
"Scan","05/08/2019 10:58:47","RT","Scrabling","","","","","",""
"Scan","05/08/2019 10:59:11","RS + TBL","Scanning","MB","","","","",""
"Scan","05/08/2019 10:59:27","MB","Foraging","H + LT","","","","",""
"Scan","05/08/2019 10:59:44","RS + TBL","Eating","","","","","",""
"Scan","05/08/2019 11:00:19","RT","Scanning","MB + RS","","","","",""
"Scan","05/08/2019 11:00:37","LT","Scrabling","RT, RS","","","","",""
"Scan","05/08/2019 11:00:56","RS","Foraging","RT, LT","","","","",""
"Scan","05/08/2019 11:01:07","MB","Scrabling","","","","","",""
"Scan","05/08/2019 11:01:25","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:01:49","H","Foraging","","","","","",""
"Scan","05/08/2019 11:01:59","H + RT","Foraging","H + TBL, LT + TBL","","","","",""
"Scan","05/08/2019 11:02:42","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:02:52","LS","Foraging","","","","","",""
"Scan","05/08/2019 11:02:58","RT","Foraging","","","","","",""
"Scan","05/08/2019 11:03:13","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:03:25","RS","Foraging","","","","","",""
"Scan","05/08/2019 11:04:21","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:05:16","LT","Foraging","","","","","",""
"Scan","05/08/2019 11:06:04","H + RT","Scrabling","LS","","","","",""
"Scan","05/08/2019 11:06:15","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:06:31","RT","Foraging","","","","","",""
"Scan","05/08/2019 11:06:58","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:08:03","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:08:16","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:08:33","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:09:01","MB","Foraging","","","","","",""
"Event","05/08/2019 11:09:29","","","","","Alarm running","Ukn","Already started",""
"Scan","05/08/2019 11:09:56","RS","Bipedal vig","MB","","","","","MB anal mark him"
"Event","05/08/2019 11:10:37","","","","","Alarm running","Ukn","Already stopped",""
"Scan","05/08/2019 11:11:02","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:11:10","H","Foraging","H + RT","","","","",""
"Scan","05/08/2019 11:11:17","H + RT","Foraging","H","","","","",""
"Scan","05/08/2019 11:11:40","RT","Scrabling","LT + TBL","","","","",""
"Scan","05/08/2019 11:12:06","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:12:13","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:13:28","LT","Foraging","RR + TBL, RS + TBL","","","","",""
"Scan","05/08/2019 11:13:39","RS + TBL","Foraging","LT","","","","",""
"Scan","05/08/2019 11:14:19","LT","Scrabling","","","","","",""
"Scan","05/08/2019 11:14:29","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 11:16:29","LS","Foraging","H + RT","","","","",""
"Scan","05/08/2019 11:16:38","H + RT","Foraging","LS","","","","",""
"Scan","05/08/2019 11:16:54","RT","Foraging","","","","","",""
"Scan","05/08/2019 11:17:16","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:17:32","H","Foraging","LT + TBL","","","","",""
"Scan","05/08/2019 11:17:57","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:19:38","LT","Scrabling","H  + MB + TB","","","","",""
"Scan","05/08/2019 11:19:55","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 11:20:07","LT","Scrabling","H  + MB + TB","","","","",""
"Scan","05/08/2019 11:20:18","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 11:21:55","RT","Foraging","H + TBL, H","","","","",""
"Scan","05/08/2019 11:22:16","H","Bipedal vig","RT, RS","","","","",""
"Scan","05/08/2019 11:22:32","RS","Foraging","H","","","","",""
"Scan","05/08/2019 11:22:55","MB","Scrabling","","","","","",""
"Scan","05/08/2019 11:23:33","LS","Scrabling","","","","","",""
"Scan","05/08/2019 11:24:09","LT","Other","","","","","","sniffing bolthole "
"Event","05/08/2019 11:24:32","","","","","Alarm running","Ukn","Start","H "
"Event","05/08/2019 11:25:16","","","","","Alarm running","Ukn","Already stopped","H"
"Scan","05/08/2019 11:25:42","MB","Foraging","","","","","",""
"Scan","05/08/2019 11:25:54","RT","Scrabling","","","","","",""
"Scan","05/08/2019 11:26:10","RS + TBL","Scrabling","H + LT","","","","",""
"Scan","05/08/2019 11:26:27","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:26:42","H + RT","Foraging","","","","","",""
"Scan","05/08/2019 11:26:58","RS","Scrabling","","","","","",""
"Scan","05/08/2019 11:27:17","LS","Foraging","","","","","",""
"Scan","05/08/2019 11:27:34","H","Scrabling","","","","","",""
"Scan","05/08/2019 11:27:40","RT","Foraging","H + LT","","","","",""
"Scan","05/08/2019 11:27:56","RS + TBL","Scrabling","","","","","",""
