"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","8/11/21 11:56:48","LT","Foraging","","","","","",""
"Scan","8/11/21 11:55:48","RS","Foraging","","","","","",""
"Event","8/11/21 11:55:11","","","","Sentinel","","RSTB","Currently",""
"Scan","8/11/21 11:54:17","LS","Scrabling","RRRT","","","","",""
"Scan","8/11/21 11:53:29","LT","Scrabling","","","","","",""
"Scan","8/11/21 11:52:54","RS","Foraging","","","","","",""
"Scan","8/11/21 11:51:54","LS","Self-directed behaviour","RRRT","","","","",""
"Event","8/11/21 11:51:23","","","","Sentinel","","RSTB","Start",""
"Event","8/11/21 11:50:32","","","","Sentinel","","Ukn","Already stopped",""
"Event","8/11/21 11:50:32","","","","Sentinel","","Ukn","Already stopped",""
"Scan","8/11/21 11:49:39","LT","Moving","SHRT, RRRT","","","","",""
"Scan","8/11/21 11:49:31","RS","Foraging","","","","","",""
"Scan","8/11/21 11:48:58","LS","Scrabling","SHRT, RRLT","","","","",""
"Scan","8/11/21 11:46:44","RS","Foraging","RRRT, LT","","","","",""
"Scan","8/11/21 11:46:27","LT","Foraging","RRRT, RS","","","","",""
"Scan","8/11/21 11:45:45","LS","Foraging","","","","","",""
"Scan","8/11/21 11:44:16","RSTB","Foraging","RRRS","","","","",""
"Scan","8/11/21 11:43:39","RS","Foraging","SHTB, SHLT","","","","",""
"Scan","8/11/21 11:43:11","LT","Foraging","RRLT, LS","","","","",""
"Scan","8/11/21 11:42:50","LS","Foraging","RRLT, LT","","","","",""
"Event","8/11/21 11:36:41","","","","Sentinel","","SHTB","Already stopped",""
"Event","8/11/21 11:36:29","","","","Sentinel","","HLS","Currently",""
"Scan","8/11/21 11:34:42","LS","Scrabling","SHRT","","","","",""
"Scan","8/11/21 11:33:56","RS","Scrabling","RRLT","","","","",""
"Scan","8/11/21 11:33:40","LT","Foraging","RSTB","","","","",""
"Scan","8/11/21 11:33:27","RSTB","Scrabling","LT","","","","",""
"Scan","8/11/21 11:26:00","LS","Foraging","","","","","",""
"Scan","8/11/21 11:25:43","LT","Foraging","SHRT, RS","","","","",""
"Scan","8/11/21 11:25:16","RS","Foraging","SHRT, LT","","","","",""
"Scan","8/11/21 11:24:48","RSTB","Foraging","","","","","",""
"Scan","8/11/21 11:20:58","RSTB","Moving","","","","","",""
"Scan","8/11/21 11:20:22","LS","Foraging","RRRT","","","","",""
"Scan","8/11/21 11:20:00","RS","Foraging","LT","","","","",""
"Scan","8/11/21 11:19:44","LT","Foraging","RS","","","","",""
"Scan","8/11/21 11:18:53","RSTB","Foraging","SHLT, RRRS, LS","","","","",""
"Scan","8/11/21 11:17:40","LS","Foraging","SHRT, HLS, SHLT, RSTB, RRRT, RRLT","","","","",""
"Scan","8/11/21 11:16:57","RS","Moving","SHRT, HLS, SHLT, RSTB, RRRT, RRLT, LS","","","","",""
"Scan","8/11/21 11:16:34","LT","Moving","RSTB, RRRS","","","","",""
"Scan","8/11/21 11:16:10","RSTB","Foraging","RRRS, LT","","","","",""
"Event","8/11/21 11:15:38","","","","Sentinel","","SHTB","Already started",""
"Event","8/11/21 11:12:33","","","","Alarm scanning","SHLT","","Start",""
"Scan","8/11/21 11:11:25","LS","Self-directed behaviour","SHRT, HLS, RRRT, RRLT, RRRS, RS","","","","",""
"Scan","8/11/21 11:09:55","RSTB","Self-directed behaviour","SHRT, HLS, SHLT, RRRS, LT, RS, LS","","","","",""
"Scan","8/11/21 11:09:18","LT","Scrabling","SHRT, HLS, SHTB, SHLT, RRRS","","","","",""
"Scan","8/11/21 11:08:05","RS","Playing ","SHRT, HLS, RSTB, RRRT, RRRS, LT, LS","","","","",""
"Scan","8/11/21 11:02:32","LS","Self-directed behaviour","SHRT, HLS, RRRT, RRLT, RRRS, RS","","","","",""
"Scan","8/11/21 11:01:49","LT","Moving","SHTB, RRRT, RRLT","","","","",""
"Scan","8/11/21 11:00:32","RS","Playing ","SHRT, HLS, RSTB, RRRT, RRLT, LT, LS","","","","",""
"Event","8/11/21 10:57:53","","","","Alarm running","Whole group","","Already started",""
"Scan","8/11/21 10:55:53","RS","Self-directed behaviour","SHRT, HLS, SHTB, SHLT, RSTB, RRRT, RRLT, LT, LS","","","","",""
"Scan","8/11/21 10:54:16","RSTB","Self-directed behaviour","SHRT, HLS, SHTB, SHLT, RRRT, RRRS, LT, RS, LS","","","","",""
"Scan","8/11/21 10:52:09","LS","Self-directed behaviour","SHRT, HLS, RSTB, RRRT, RRLT, LT, RS","","","","",""
"Scan","8/11/21 10:50:31","LT","Self-directed behaviour","SHRT, HLS, SHLT, RSTB, LS","","","","",""
"Event","8/11/21 10:48:56","","","","Sentinel","","RSTB","Stop",""
"Scan","8/11/21 10:48:01","RS","Self-directed behaviour","HLS, SHTB, SHLT, RRRT, RRLT, LT, LS","","","","",""
"Scan","8/11/21 10:45:17","RSTB","Other","SHLT","","","","","sentinel "
"Scan","8/11/21 10:44:44","LT","Foraging","RSTB, RRRT, RRLT, LS","","","","",""
"Scan","8/11/21 10:42:36","LS","Foraging","RSTB, RRLT, LT","","","","",""
"Scan","8/11/21 10:41:13","RS","Self-directed behaviour","RSTB","","","","",""
"Event","8/11/21 10:40:21","","","","Sentinel","","RSTB","Start",""
"Scan","8/11/21 10:39:42","RSTB","Scrabling","HLS, SHTB, RRRT, LT","","","","",""
"Scan","8/11/21 10:39:08","LT","Self-directed behaviour","RS","","","","",""
"Scan","8/11/21 10:38:51","RS","Self-directed behaviour","LT","","","","",""
"Scan","8/11/21 10:38:41","LS","Bipedal vig","","","","","",""
"Event","8/11/21 10:38:01","","","","Alarm running","Whole group","","Already stopped","1038 GPS time "
"Scan","8/11/21 10:31:26","LS","Foraging","RRRT","","","","",""
"Scan","8/11/21 10:30:51","LT","Foraging","RS","","","","",""
"Scan","8/11/21 10:28:38","RS","Foraging","HLS, LS","","","","",""
"Scan","8/11/21 10:28:09","LS","Foraging","","","","","",""
"Event","8/11/21 10:24:20","","","","Sentinel","","Ukn","Already stopped",""
"Scan","8/11/21 10:23:39","LT","Scrabling","RS","","","","",""
"Scan","8/11/21 10:21:42","RSTB","Foraging","","","","","",""
"Scan","8/11/21 10:20:33","RS","Foraging","","","","","",""
"Scan","8/11/21 10:18:10","LS","Foraging","","","","","",""
"Scan","8/11/21 10:17:21","RSTB","Foraging","","","","","",""
"Scan","8/11/21 10:15:45","RS","Scrabling","","","","","",""
"Scan","8/11/21 10:14:11","LS","Moving","HLS, SHTB, RSTB","","","","",""
"Event","8/11/21 10:13:42","","","","Sentinel","","SHTB","Already started",""
"Scan","8/11/21 10:11:49","LT","Foraging","","","","","",""
"Scan","8/11/21 10:11:34","RSTB","Foraging","HLS, RRRS","","","","",""
"Scan","8/11/21 10:11:01","RS","Eating","SHRT, HLS, RSTB, LT, LS","","","","",""
"Scan","8/11/21 10:08:42","RSTB","Foraging","HLS, RRRT, RRLT, RRRS","","","","",""
"Scan","8/11/21 10:08:08","LT","Moving","","","","","",""
"Scan","8/11/21 10:07:53","LS","Scrabling","","","","","",""
"Scan","8/11/21 10:07:44","RS","Scrabling","","","","","",""
"Scan","8/11/21 10:02:05","LT","Foraging","SHTB, RRRT, RS, LS","","","","",""
"Scan","8/11/21 10:01:13","RS","Foraging","RSTB, RRRT, LS","","","","",""
"Scan","8/11/21 09:58:57","RSTB","Foraging","","","","","",""
"Scan","8/11/21 09:58:22","LS","Foraging","RS","","","","",""
"Scan","8/11/21 09:58:07","RS","Foraging","LS","","","","",""
"Scan","8/11/21 09:57:50","LT","Foraging","HLS, SHLT","","","","",""
"Scan","8/11/21 09:53:03","LS","Foraging","SHLT, LT, RS","","","","",""
"Scan","8/11/21 09:51:11","RS","Moving","","","","","",""
"Scan","8/11/21 09:50:26","RSTB","Bipedal vig","","","","","",""
"Scan","8/11/21 09:49:32","LT","Foraging","SHRT, RRLT","","","","",""
"Scan","8/11/21 09:43:18","LT","Foraging","RS","","","","",""
