"EntryType","Time","MeerkatID","Behavior","Neighbours <1m","EventType","CallerID","SentinelID","Timing","Note"
"Scan","5/20/21 08:08:39","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/20/21 08:08:56","SH+T","Scrabling","LT+TB","","","","",""
"Scan","5/20/21 08:09:17","TB","Scrabling","LT+LS","","","","",""
"Scan","5/20/21 08:09:50","RC+MB+TB","Scrabling","RR+RT","","","","",""
"Scan","5/20/21 08:10:37","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 08:11:11","LT","Digging","","","","","",""
"Scan","5/20/21 08:11:29","LT+TB","Foraging","RS+LS+T (+SH)","","","","",""
"Scan","5/20/21 08:12:01","LT+LS","Scrabling","","","","","",""
"Scan","5/20/21 08:14:01","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/20/21 08:14:19","RR+RS (+RT)","Scrabling","RR+TB","","","","","RR+TB on gt on Camille who's doing a video focal on RR +RS "
"Scan","5/20/21 08:14:31","RR+TB","Other","RR+RS (+RT)","","","","","GT on Camille, Camille doing a video focal on RR+RS"
"Scan","5/20/21 08:15:11","RR+LT","Foraging","TB","","","","",""
"Scan","5/20/21 08:15:59","RR+RT","Scrabling","","","","","",""
"Scan","5/20/21 08:16:14","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 08:16:30","LT+TB","Eating","","","","","",""
"Scan","5/20/21 08:17:07","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:17:19","LT","Foraging","","","","","",""
"Scan","5/20/21 08:17:35","RS+LS+T (+SH)","Scrabling","","","","","",""
"Scan","5/20/21 08:17:52","TB","Scrabling","","","","","",""
"Scan","5/20/21 08:18:03","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 08:18:18","LT+RT (+T)","Scrabling","RR+RS (+RT)","","","","",""
"Scan","5/20/21 08:19:05","LT+LS","Scrabling","","","","","",""
"Scan","5/20/21 08:19:48","RR+LT","Scrabling","RR+TB","","","","","RR+TB on gt on Camille who's doing a video focal on RR+LT"
"Scan","5/20/21 08:19:59","RR+TB","Other","RR+LT","","","","","GT on Camille"
"Scan","5/20/21 08:24:01","RR+RT","Scrabling","","","","","",""
"Scan","5/20/21 08:24:37","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/20/21 08:25:10","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 08:25:31","TB","Digging","","","","","",""
"Scan","5/20/21 08:26:01","RS+LS+T (+SH)","Scrabling","RC + MB + TB","","","","",""
"Scan","5/20/21 08:26:17","LT","Foraging","","","","","",""
"Scan","5/20/21 08:26:35","SH+T","Scrabling","LT+LS","","","","",""
"Scan","5/20/21 08:26:51","LT+LS","Eating","","","","","",""
"Scan","5/20/21 08:27:05","LT+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:27:39","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:28:07","LT+RT (+T)","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:28:29","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/20/21 08:28:46","RR+LT","Foraging","","","","","",""
"Scan","5/20/21 08:29:15","RR+RT","Scrabling","RR+TB","","","","","RR TB on gt on Camille who's doing a video focal on RR RT "
"Scan","5/20/21 08:30:06","RR+TB","Other","RR+RT","","","","","gt on Camille who's doing a video focal on RR RT "
"Scan","5/20/21 08:31:40","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 08:31:54","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/20/21 08:32:08","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:32:19","LT","Foraging","RR+LT","","","","",""
"Scan","5/20/21 08:32:39","TB","Digging","","","","","",""
"Scan","5/20/21 08:33:10","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 08:33:23","LT+RT (+T)","Digging","","","","","",""
"Scan","5/20/21 08:34:02","LT+TB","Foraging","","","","","",""
"Scan","5/20/21 08:34:16","LT+LS","Foraging","LT+TB","","","","",""
"Scan","5/20/21 08:34:45","RR+RS (+RT)","Foraging","RR+RT","","","","",""
"Scan","5/20/21 08:35:08","RR+TB","Digging","","","","","",""
"Scan","5/20/21 08:35:24","RR+RT","Foraging","","","","","",""
"Scan","5/20/21 08:36:41","RR+LT","Scrabling","LT+RT (+T), LT","","","","",""
"Scan","5/20/21 08:37:08","RS+LS+T (+SH)","Digging","TB","","","","",""
"Scan","5/20/21 08:37:25","RT (+TB+LT)","Eating","","","","","",""
"Scan","5/20/21 08:37:37","TB","Moving","RS+LS+T (+SH)","","","","",""
"Scan","5/20/21 08:38:16","LT","Scrabling","LT+RT (+T)","","","","",""
"Scan","5/20/21 08:39:05","RC+MB+TB","Foraging","","","","","",""
"Scan","5/20/21 08:39:26","LT+RT (+T)","Foraging","","","","","",""
"Scan","5/20/21 08:39:55","SH+T","Foraging","RR+RS (+RT), LT+LS","","","","",""
"Scan","5/20/21 08:40:19","LT+LS","Scrabling","","","","","",""
"Scan","5/20/21 08:40:47","LT+TB","Foraging","RS+LS+T (+SH), LT+RT (+T)","","","","",""
"Scan","5/20/21 08:41:14","RR+RT","Scrabling","LT+TB","","","","",""
"Scan","5/20/21 08:41:38","RR+LT","Eating","SH+T, RS+LS+T (+SH)","","","","",""
"Scan","5/20/21 08:42:11","RR+RS (+RT)","Moving","LT+RT (+T)","","","","",""
"Scan","5/20/21 08:42:41","RR+TB","Foraging","","","","","",""
"Scan","5/20/21 08:43:01","RS+LS+T (+SH)","Scrabling","RC + MB + TB","","","","",""
"Scan","5/20/21 08:43:18","SH+T","Scrabling","LT","","","","",""
"Scan","5/20/21 08:43:31","LT","Scrabling","SH+T","","","","",""
"Scan","5/20/21 08:44:04","RC+MB+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:44:34","RT (+TB+LT)","Scrabling","","","","","",""
"Scan","5/20/21 08:45:14","TB","Digging","","","","","",""
"Scan","5/20/21 08:45:34","LT+TB","Scrabling","","","","","",""
"Scan","5/20/21 08:45:47","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/20/21 08:46:09","LT+RT (+T)","Scrabling","","","","","",""
"Scan","5/20/21 08:46:27","RR+RT","Digging","","","","","",""
"Scan","5/20/21 08:46:48","RR+LT","Eating","","","","","",""
"Scan","5/20/21 08:47:06","RR+RS (+RT)","Scrabling","","","","","",""
"Scan","5/20/21 08:47:29","RR+TB","Foraging","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:47:49","RT (+TB+LT)","Foraging","RC + MB + TB, RR+TB","","","","",""
"Scan","5/20/21 08:48:13","TB","Eating","","","","","",""
"Scan","5/20/21 08:48:36","LT","Foraging","","","","","",""
"Scan","5/20/21 08:48:57","RS+LS+T (+SH)","Foraging","","","","","",""
"Scan","5/20/21 08:49:07","SH+T","Scrabling","","","","","",""
"Scan","5/20/21 08:49:19","LT+RT (+T)","Digging","","","","","",""
"Scan","5/20/21 08:49:53","RC+MB+TB","Scrabling","RT (+TB+LT)","","","","",""
"Scan","5/20/21 08:50:23","LT+LS","Scrabling","RR+RT","","","","",""
"Scan","5/20/21 08:50:41","LT+TB","Scrabling","RR+RT","","","","",""
"Scan","5/20/21 08:50:59","RR+RT","Foraging","LT+TB, LT+LS","","","","",""
